Year,Player,Rank,Position,Team,Points,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2013,Clay Matthews,77,LB,GB,24,0,0,0,0,1,3,0,0,0,0,7.5,41,26,15,9,11,0,5
2013,Kiko Alonso,84,LB,BUF,17,4,38,0,32,4,1,0,2,13,0,2.0,159,87,72,11,1,0,10
2013,Daryl Washington,96,LB,ARI,5,2,49,0,41,11,0,0,1,0,0,3.0,75,59,16,8,12,0,7
2014,Luke Kuechly,14,LB,CAR,87,1,0,0,0,12,1,0,1,0,0,3.0,153,99,54,9,4,0,15
2014,Justin Houston,27,LB,KC,74,0,0,0,0,5,4,0,0,0,0,22.0,69,60,9,23,25,0,18
2014,Von Miller,33,LB,DEN,68,0,0,0,0,2,1,0,1,2,0,14.0,60,43,17,16,27,0,11
2014,Elvis Dumervil,46,LB,BAL,55,0,0,0,0,1,2,0,1,0,0,17.0,38,28,10,15,27,0,11
2014,Khalil Mack,49,LB,LV,52,0,0,0,0,3,1,0,0,0,0,4.0,76,59,17,16,12,0,7
2014,Clay Matthews,51,LB,GB,50,1,40,0,40,9,2,0,0,0,0,11.0,61,45,16,16,22,0,10
2014,Lavonte David,56,LB,TB,45,0,0,0,0,4,4,0,1,0,0,1.0,146,101,45,17,4,0,6
2014,Connor Barwin,58,LB,PHI,43,0,0,0,0,5,2,0,0,0,0,14.5,64,47,17,15,21,0,12
2014,DeAndre Levy,66,LB,DET,35,1,13,0,13,4,0,0,0,0,0,2.5,151,117,34,16,4,1,13
2014,Bobby Wagner,69,LB,SEA,32,0,0,0,0,3,0,0,0,0,0,2.0,104,67,37,10,6,0,10
2014,Tamba Hali,70,LB,KC,31,0,0,0,0,0,3,0,1,0,0,6.0,59,47,12,7,11,0,12
2014,Julius Peppers,71,LB,GB,30,2,101,2,52,11,4,0,3,2,0,7.0,43,29,14,5,17,0,9
2014,Ryan Kerrigan,78,LB,WAS,23,0,0,0,0,1,5,0,1,0,0,13.5,64,51,13,18,19,0,8
2014,Terrell Suggs,84,LB,BAL,17,0,0,0,0,1,0,0,1,0,0,12.0,61,36,25,16,20,1,8
2014,DeMarcus Ware,87,LB,DEN,14,1,3,0,3,1,2,0,0,0,0,10.0,41,34,7,15,20,0,9
2014,C. J. Mosley,94,LB,BAL,7,2,23,0,18,8,1,0,1,6,0,3.0,133,88,45,8,12,0,14
2015,Luke Kuechly,7,LB,CAR,94,4,48,1,32,10,2,0,1,0,0,1.0,118,76,42,7,5,0,15
2015,Von Miller,15,LB,DEN,86,0,0,0,0,1,4,0,3,0,0,11.0,35,30,5,9,32,0,16
2015,Justin Houston,26,LB,KC,75,2,16,1,17,6,1,0,0,0,0,7.5,30,25,5,9,13,0,8
2015,DeMarcus Ware,36,LB,DEN,65,0,0,0,0,0,1,0,1,0,0,7.5,25,17,8,8,16,0,8
2015,Lavonte David,53,LB,TB,48,3,19,1,20,13,2,0,2,0,0,3.0,147,85,62,10,5,0,9
2015,Thomas Davis Sr.,54,LB,CAR,47,4,22,0,22,7,4,0,1,0,0,5.5,105,75,30,8,12,0,16
2015,Clay Matthews,57,LB,GB,44,1,42,0,42,3,0,0,1,0,0,6.5,66,49,17,14,19,0,13
2015,NaVorro Bowman,61,LB,SF,40,0,0,0,0,2,1,0,0,0,0,2.5,154,116,38,7,8,0,14
2015,Derrick Johnson,80,LB,KC,21,2,23,0,18,8,2,0,0,0,0,4.0,116,95,21,8,5,0,13
2015,Telvin Smith,83,LB,JAX,18,1,26,1,26,7,2,0,0,0,0,2.5,128,99,29,13,3,0,6
2015,Tamba Hali,84,LB,KC,17,0,0,0,0,1,2,0,0,0,0,6.5,48,39,9,11,18,0,9
2016,Von Miller,2,LB,DEN,99,0,0,0,0,3,3,0,0,0,0,13.5,78,62,16,13,24,0,15
2016,Luke Kuechly,20,LB,CAR,81,1,16,0,16,6,1,0,0,0,0,2.0,102,71,31,6,4,0,10
2016,Bobby Wagner,39,LB,SEA,62,1,9,0,9,3,0,0,1,0,0,4.5,167,85,82,7,18,0,15
2016,Vic Beasley,40,LB,ATL,61,0,0,0,0,2,6,0,1,21,1,15.5,39,32,7,11,16,0,11
2016,Justin Houston,76,LB,KC,25,0,0,0,0,1,1,0,0,0,0,4.0,21,20,1,6,6,0,3
2016,Brian Orakpo,78,LB,TEN,23,0,0,0,0,4,1,0,0,0,0,10.5,46,38,8,13,19,0,11
2016,Sean Lee,79,LB,DAL,22,0,0,0,0,1,0,0,1,0,0,0.0,145,93,52,12,2,0,15
2016,Clay Matthews,82,LB,GB,19,0,0,0,0,3,1,0,0,0,0,5.0,24,20,4,9,9,0,3
2016,Chandler Jones,85,LB,ARI,16,0,0,0,0,3,4,0,2,0,0,11.0,49,38,11,15,21,0,9
2016,Thomas Davis,89,LB,CAR,12,3,35,0,31,4,1,0,2,46,1,2.5,106,73,33,5,5,0,11
2016,Lorenzo Alexander,91,LB,BUF,10,1,28,0,28,6,3,0,0,0,0,12.5,76,56,20,10,22,0,12
2016,Dont'a Hightower,94,LB,NE,7,0,0,0,0,2,1,0,0,0,0,2.5,65,31,34,1,8,1,12
2017,Von Miller,9,LB,DEN,92,0,0,0,0,3,2,0,1,0,0,10.0,57,51,6,17,23,0,12
2017,Luke Kuechly,12,LB,CAR,89,3,23,0,23,6,1,0,3,34,1,1.5,125,74,51,7,5,0,14
2017,Bobby Wagner,21,LB,SEA,80,2,7,0,7,6,0,1,2,21,1,1.5,133,97,36,13,13,1,16
2017,Ryan Shazier,47,LB,PIT,54,3,2,0,2,11,2,0,1,3,0,0.0,89,68,21,3,2,0,9
2017,Telvin Smith,67,LB,JAX,34,3,56,1,28,5,1,0,2,52,1,1.0,102,76,26,12,2,0,14
2017,Thomas Davis,73,LB,CAR,28,0,0,0,0,0,0,0,1,0,0,2.5,76,52,24,5,7,0,8
2017,C. J. Mosley,98,LB,BAL,3,2,94,1,63,7,3,0,2,18,0,1.0,132,96,36,11,5,0,16
2018,Khalil Mack,3,LB,CHI,98,1,27,1,27,4,6,0,2,0,0,12.5,47,37,10,10,18,0,17
2018,Von Miller,10,LB,DEN,91,1,42,0,42,3,4,0,3,3,0,14.5,48,29,19,14,26,0,13
2018,Bobby Wagner,15,LB,SEA,86,1,98,1,98,11,2,0,1,11,0,1.0,138,84,54,6,8,0,16
2018,Luke Kuechly,24,LB,CAR,77,1,0,0,0,6,2,0,1,0,0,2.0,130,93,37,20,5,0,13
2018,Darius Leonard,26,LB,IND,75,2,38,0,28,8,4,1,2,0,0,7.0,163,111,52,12,8,0,16
2018,Jaylon Smith,61,LB,DAL,40,0,0,0,0,4,2,0,2,69,1,4.0,121,82,39,6,6,0,8
2018,Jadeveon Clowney,63,LB,HOU,38,0,0,0,0,1,1,0,3,0,1,9.0,47,38,9,16,21,0,12
2018,Jason Pierre-Paul,65,LB,TB,36,0,0,0,0,2,1,0,1,0,0,12.5,58,48,10,16,20,0,8
2018,C.J. Mosley,71,LB,BAL,30,1,0,0,0,5,0,0,0,0,0,0.5,105,70,35,6,2,0,15
2018,Leighton Vander Esch,74,LB,DAL,27,2,56,0,28,7,0,0,0,0,0,0.0,140,102,38,2,1,0,11
2018,Bradley Chubb,82,LB,DEN,19,0,0,0,0,1,2,0,1,4,0,12.0,60,41,19,14,21,0,8
2018,T.J. Watt,93,LB,PIT,8,0,0,0,0,3,6,0,0,0,0,13.0,68,50,18,12,21,0,11
2019,Bobby Wagner,13,LB,SEA,88,1,6,0,6,6,1,0,1,5,0,3.0,159,86,73,7,4,0,14
2019,Chandler Jones,15,LB,ARI,86,0,0,0,0,5,8,0,3,0,0,19.0,53,42,11,11,26,0,12
2019,Khalil Mack,19,LB,CHI,82,0,0,0,0,4,5,0,1,0,0,8.5,47,40,7,8,14,0,11
2019,T. J. Watt,25,LB,PIT,76,2,7,0,7,8,8,0,4,0,0,14.5,55,35,20,14,36,0,14
2019,Von Miller,26,LB,DEN,75,0,0,0,0,2,0,0,0,0,0,8.0,46,33,13,10,20,0,11
2019,Shaquil Barrett,32,LB,TB,69,1,4,0,4,2,6,0,0,0,0,19.5,58,45,13,19,37,0,13
2019,Za'Darius Smith,48,LB,GB,53,0,0,0,0,0,1,0,0,0,0,13.5,55,41,14,17,37,0,12
2019,Darius Leonard,50,LB,IND,51,5,92,1,80,7,2,0,0,0,0,5.0,121,71,50,7,6,0,12
2019,Preston Smith,63,LB,GB,38,1,5,0,5,4,1,0,0,0,0,12.0,56,36,20,11,23,0,9
2019,Demario Davis,67,LB,NOR,34,1,1,0,1,12,0,0,0,0,0,4.0,111,87,24,11,9,0,14
2019,Fred Warner,70,LB,SF,31,1,46,1,46,9,3,0,0,0,0,3.0,118,89,29,7,5,0,10
2019,Eric Kendricks,83,LB,MIN,18,0,0,0,0,12,2,0,2,25,0,0.5,110,70,40,4,2,0,15
2019,Jaylon Smith,88,LB,DAL,13,1,0,0,0,9,2,0,1,6,0,2.5,142,83,59,6,3,0,12
2019,Lavonte David,100,LB,TB,1,1,26,0,26,7,3,0,1,0,0,1.0,123,82,41,10,7,0,8
2010,Darrelle Revis,8,CB,NYJ,93,0,0,0,0,10,0,0,2,10,0,0.0,32,26,6,0,0,0,14
2010,Charles Woodson,16,CB,GB,85,2,48,1,48,13,5,0,0,0,0,2.0,92,76,16,7,6,0,15
2010,Nnamdi Asomugha,18,CB,LV,83,0,0,0,0,6,0,0,0,0,0,0.0,19,17,2,0,2,0,13
2010,Champ Bailey,48,CB,DEN,53,2,0,0,0,13,0,0,0,0,0,1.0,45,41,4,3,1,0,7
2010,Asante Samuel,54,CB,PHI,47,7,70,0,33,14,0,1,1,1,0,0.0,26,22,4,0,0,0,9
2011,Darrelle Revis,5,CB,NYJ,96,4,184,1,100,21,0,0,0,0,0,0.0,52,41,11,1,0,0,17
2011,Charles Woodson,36,CB,GB,65,7,63,1,30,17,1,0,1,-1,0,2.0,75,63,12,4,3,0,14
2011,Champ Bailey,46,CB,DEN,55,2,0,0,0,10,1,0,0,0,0,0.0,39,35,4,1,0,0,9
2011,Patrick Peterson,55,CB,ARI,46,2,1,0,1,13,0,4,2,-1,0,1.0,64,59,5,1,1,0,22
2011,Carlos Rogers,69,CB,SF,32,6,106,1,31,18,0,0,0,0,0,0.0,43,40,3,2,1,0,13
2011,Johnathan Joseph,73,CB,HOU,28,4,40,0,29,15,1,0,0,0,0,0.0,44,40,4,2,0,0,13
2011,Nnamdi Asomugha,79,CB,PHI,22,3,10,0,6,5,0,0,0,0,0,0.0,40,35,5,4,0,0,6
2011,Cortland Finnegan,93,CB,TEN,8,1,8,0,8,11,0,0,1,0,0,1.0,75,58,17,6,3,0,8
2012,Patrick Peterson,33,CB,ARI,68,7,64,0,31,16,0,7,5,60,0,0.0,55,52,3,2,0,0,13
2012,Charles Tillman,34,CB,CHI,67,3,71,3,36,16,10,0,2,0,0,0.0,87,75,12,1,0,0,17
2012,Richard Sherman,50,CB,SEA,51,8,57,1,29,24,3,0,1,0,0,1.0,65,54,11,0,1,0,20
2012,Champ Bailey,53,CB,DEN,48,2,18,0,18,8,0,0,0,0,0,0.0,66,61,5,3,0,0,13
2012,Darrelle Revis,67,CB,NYJ,34,1,1,0,1,3,0,0,1,0,0,0.0,12,9,3,0,0,0,1
2012,Tim Jennings,69,CB,CHI,32,9,105,1,31,21,0,0,0,0,0,0.0,60,55,5,1,0,0,13
2012,Brandon Flowers,75,CB,KC,26,3,28,0,29,12,0,0,1,64,0,1.0,48,40,8,2,1,0,6
2012,Charles Woodson,85,CB,GB,16,1,0,0,0,5,1,0,0,0,0,1.5,38,25,13,1,2,0,3
2013,Richard Sherman,7,CB,SEA,94,8,125,1,58,16,0,2,2,0,0,0.0,48,38,10,0,1,0,21
2013,Patrick Peterson,22,CB,ARI,79,3,59,0,43,13,0,3,2,0,0,0.0,42,40,2,0,0,0,16
2013,Darrelle Revis,37,CB,TB,64,2,3,0,3,11,2,0,1,0,0,1.0,50,43,7,3,1,0,6
2013,Joe Haden,39,CB,CLV,62,4,57,1,29,20,0,0,0,0,0,0.0,54,43,11,0,0,0,12
2013,Tim Jennings,74,CB,CHI,27,4,111,2,48,13,2,0,1,0,0,0.0,58,50,8,0,0,0,8
2013,Aqib Talib,79,CB,NE,22,4,12,0,14,14,1,0,1,0,0,0.0,41,35,6,1,0,0,12
2013,Brent Grimes,95,CB,MIA,6,4,102,1,94,17,0,0,0,0,0,0.0,60,52,8,1,1,0,11
2014,Richard Sherman,11,CB,SEA,90,4,81,0,53,8,1,0,0,0,0,0.0,57,45,12,2,0,0,22
2014,Darrelle Revis,17,CB,NE,84,2,0,0,0,14,1,0,1,0,0,0.0,47,41,6,2,0,0,17
2014,Patrick Peterson,19,CB,ARI,82,3,30,1,30,7,0,0,0,0,0,1.0,50,43,7,0,1,0,9
2014,Joe Haden,23,CB,CLV,78,3,0,0,0,20,1,0,2,34,0,0.0,73,58,15,1,0,0,10
2014,Brent Grimes,38,CB,MIA,63,5,80,1,32,12,1,0,0,0,0,0.0,57,47,10,1,0,0,10
2014,Vontae Davis,59,CB,IND,42,4,72,0,42,18,2,0,1,-9,0,0.0,42,35,7,0,1,0,11
2015,Josh Norman,11,CB,CAR,90,4,110,2,46,18,3,0,2,12,0,0.0,56,48,8,3,0,0,15
2015,Patrick Peterson,18,CB,ARI,83,2,41,0,40,8,1,4,0,0,0,0.0,35,35,0,1,0,0,14
2015,Richard Sherman,20,CB,SEA,81,2,30,0,26,14,0,0,0,0,0,0.0,50,33,17,1,0,0,15
2015,Darrelle Revis,24,CB,NYJ,77,5,48,0,24,9,0,0,4,18,0,0.0,39,30,9,0,0,0,11
2015,Aqib Talib,34,CB,DEN,67,3,123,2,63,13,0,0,0,0,0,0.0,45,39,6,1,0,0,11
2015,Chris Harris Jr.,52,CB,DEN,49,2,94,1,74,6,2,0,0,0,0,0.0,58,49,9,4,0,0,15
2015,Marcus Peters,65,CB,KC,36,8,280,2,90,26,1,0,0,0,0,0.0,60,53,7,2,0,0,14
2016,Patrick Peterson,19,CB,ARI,82,3,27,0,25,6,0,1,1,0,0,0.0,51,45,6,1,0,0,10
2016,Richard Sherman,21,CB,SEA,80,4,37,0,31,13,0,0,1,14,0,0.0,58,38,20,2,0,0,10
2016,Marcus Peters,32,CB,KC,69,6,63,0,28,20,1,0,3,31,0,0.0,45,35,10,0,0,0,15
2016,Aqib Talib,37,CB,DEN,64,3,86,1,46,12,0,0,0,0,0,0.0,43,32,11,1,1,0,16
2016,Janoris Jenkins,54,CB,NYG,47,3,26,0,23,18,1,1,0,0,0,1.0,49,44,5,5,1,0,13
2016,Josh Norman,59,CB,WAS,42,3,38,0,35,19,2,0,0,0,0,0.0,67,52,15,2,1,0,5
2016,Chris Harris Jr.,63,CB,DEN,38,2,36,0,36,11,1,0,1,6,0,0.0,63,57,6,1,0,0,17
2016,Casey Hayward,64,CB,LAC,37,7,102,1,31,20,0,0,0,0,0,0.0,58,51,7,1,0,0,13
2016,Xavier Rhodes,66,CB,MIN,35,5,133,1,100,11,1,0,0,0,0,0.0,52,44,8,2,0,0,10
2016,Malcolm Butler,99,CB,NE,2,4,28,0,21,17,1,0,2,2,0,1.0,63,48,15,1,1,0,14
2017,Jalen Ramsey,17,CB,JAX,84,4,34,0,18,17,0,0,0,0,0,0.0,63,52,11,2,0,0,15
2017,Patrick Peterson,23,CB,ARI,78,1,22,0,22,8,0,0,1,47,0,0.0,34,30,4,0,0,0,10
2017,A. J. Bouye,35,CB,JAX,66,6,70,0,51,18,0,0,0,0,0,0.0,56,53,3,0,0,0,12
2017,Darius Slay,49,CB,DET,52,8,73,0,37,26,0,0,1,0,0,0.0,60,54,6,1,0,0,13
2017,Aqib Talib,53,CB,DEN,48,1,103,1,103,7,1,0,0,0,0,0.0,31,23,8,0,0,0,9
2017,Xavier Rhodes,55,CB,MIN,46,2,23,0,21,10,0,0,0,0,0,0.0,56,44,12,1,0,0,11
2017,Casey Hayward,59,CB,LAC,42,4,7,0,7,22,1,0,2,11,0,0.0,40,33,7,2,0,0,13
2017,Richard Sherman,64,CB,SEA,37,2,20,0,19,7,0,0,1,0,0,0.0,35,25,10,1,0,0,3
2017,Marcus Peters,79,CB,KC,22,5,137,0,62,9,3,0,2,45,1,0.0,46,42,4,2,0,0,5
2017,Marshon Lattimore,82,CB,NOR,19,5,85,1,33,18,1,0,1,0,0,0.0,52,43,9,1,0,0,9
2017,Chris Harris Jr.,86,CB,DEN,15,2,36,0,23,7,1,0,0,0,0,0.0,40,32,8,1,0,0,6
2018,Stephon Gilmore,22,CB,NE,79,2,0,0,0,20,2,0,1,0,0,1.0,45,40,5,1,1,0,16
2018,Jalen Ramsey,27,CB,JAX,74,3,0,0,0,13,0,0,0,0,0,0.0,65,62,3,2,0,0,11
2018,Patrick Peterson,46,CB,ARI,55,2,0,0,0,5,0,0,1,49,0,1.0,54,45,9,2,1,0,9
2018,Xavien Howard,55,CB,MIA,46,7,52,0,39,12,0,0,1,0,0,0.0,35,25,10,1,0,0,11
2018,Darius Slay,86,CB,DET,15,3,107,1,67,17,0,0,0,0,0,0.0,43,40,3,1,0,0,9
2018,Kyle Fuller,95,CB,CHI,6,7,52,0,35,21,0,0,0,0,0,0.0,55,45,10,0,0,0,16
2018,Byron Jones,97,CB,DAL,4,0,0,0,0,14,0,0,0,0,0,0.0,67,56,11,2,0,0,11
2019,Stephon Gilmore,9,CB,NE,92,6,126,2,64,20,0,0,1,0,0,0.0,53,44,9,0,0,0,23
2019,Richard Sherman,28,CB,SF,73,3,65,1,31,11,0,0,0,0,0,0.0,61,48,13,2,0,0,11
2019,Jalen Ramsey,37,CB,JAX,64,1,13,0,13,5,2,0,0,0,0,0.0,50,44,6,0,0,0,9
2019,Tre'Davious White,47,CB,BUF,54,6,57,0,49,17,2,0,0,0,0,1.0,58,48,10,4,1,0,19
2019,Marcus Peters,53,CB,BAL,48,5,210,3,89,14,0,0,1,0,0,0.0,53,40,13,1,0,0,17
2019,Logan Ryan,60,CB,TEN,41,4,16,0,16,18,4,0,0,0,0,4.5,113,73,40,4,8,0,7
2019,Marshon Lattimore,76,CB,NOR,25,1,0,0,0,14,0,0,0,0,0,0.0,57,46,11,1,0,0,7
2019,Marlon Humphrey,86,CB,BAL,15,3,14,0,14,14,2,0,3,91,2,0.0,65,53,12,4,1,0,16
2019,Darius Slay,92,CB,DET,9,2,19,0,19,13,0,0,1,38,0,0.0,46,36,10,0,0,0,7
2010,Ed Reed,5,S,BAL,96,8,183,0,44,16,1,2,1,0,0,0.0,37,30,7,0,0,0,11
2010,Troy Polamalu,6,S,PIT,95,7,101,1,45,11,1,0,1,0,0,1.0,63,49,14,6,2,0,16
2010,Antrel Rolle,68,S,NYG,33,1,36,0,36,4,1,0,2,-3,0,0.5,87,76,11,7,8,0,9
2010,Adrian Wilson,89,S,ARI,12,2,4,0,4,9,0,0,0,0,0,2.0,88,76,12,6,6,0,7
2010,Eric Berry,93,S,KC,8,4,102,1,54,9,1,0,0,0,0,2.0,92,77,15,5,6,0,11
2010,Nick Collins,96,S,GB,5,4,34,0,24,12,0,0,2,26,1,0.0,70,59,11,1,2,0,13
2011,Ed Reed,16,S,BAL,85,3,25,0,16,8,1,0,0,0,0,1.0,52,44,8,1,1,0,11
2011,Troy Polamalu,19,S,PIT,82,2,33,0,33,14,0,0,1,16,1,1.0,91,64,27,7,4,0,17
2011,Earl Thomas,66,S,SEA,35,2,19,0,11,7,1,0,2,0,0,0.0,98,69,29,6,1,0,12
2012,Ed Reed,18,S,BAL,83,4,78,1,34,15,0,0,3,30,0,0.0,58,49,9,1,0,0,11
2012,Earl Thomas,66,S,SEA,35,3,80,1,57,8,1,0,1,0,0,0.0,66,42,24,2,2,0,15
2012,Bernard Pollard,87,S,BAL,14,1,0,0,0,5,0,0,0,0,0,2.0,98,71,27,6,3,0,5
2012,Troy Polamalu,91,S,PIT,10,1,1,0,1,3,0,0,0,0,0,1.0,34,29,5,1,1,0,4
2012,Dashon Goldson,96,S,SF,5,3,21,0,20,12,1,0,2,71,0,0.0,69,55,14,1,0,0,9
2013,Earl Thomas,17,S,SEA,84,5,9,0,11,9,2,0,0,0,0,0.0,105,78,27,0,0,0,16
2013,Eric Berry,50,S,KC,51,3,134,2,49,11,2,0,2,24,0,3.5,74,66,8,11,7,0,12
2013,Troy Polamalu,61,S,PIT,40,2,36,1,19,11,5,0,1,0,0,2.0,69,50,19,7,2,0,9
2013,Kam Chancellor,65,S,SEA,36,3,78,0,32,6,1,0,0,0,0,0.0,99,65,34,3,1,0,12
2013,Antrel Rolle,72,S,NYG,29,6,23,0,25,12,1,0,1,10,0,2.0,98,80,18,4,2,0,14
2013,T. J. Ward,82,S,CLV,19,2,57,1,44,5,0,0,1,51,1,1.5,112,75,37,9,2,0,11
2013,Eric Weddle,92,S,LAC,9,2,21,0,21,9,1,0,2,27,0,1.0,115,88,27,5,2,0,10
2014,Earl Thomas,21,S,SEA,80,1,47,0,47,5,4,1,1,0,0,0.0,97,71,26,1,0,0,17
2014,Kam Chancellor,41,S,SEA,60,1,52,0,52,6,1,0,0,0,0,0.0,78,60,18,1,0,0,13
2014,Charles Woodson,64,S,LV,37,4,35,0,30,8,0,0,1,0,0,1.0,113,83,30,4,1,0,6
2014,Tashaun Gipson,67,S,CLV,34,6,158,1,62,8,1,0,0,0,0,0.0,52,28,24,2,0,0,8
2014,Eric Weddle,86,S,LAC,15,1,17,0,17,8,2,0,0,0,0,0.0,114,91,23,2,0,0,12
2014,Glover Quin,88,S,DET,13,7,117,0,56,10,0,0,0,0,0,0.0,73,57,16,2,0,0,12
2015,Tyrann Mathieu,28,S,ARI,73,5,92,1,33,17,1,0,0,0,0,1.0,89,80,9,11,3,0,12
2015,Kam Chancellor,32,S,SEA,69,2,6,0,6,4,1,0,0,0,0,0.0,74,44,30,1,0,0,8
2015,Eric Berry,55,S,KC,46,2,40,0,25,10,0,0,0,0,0,0.0,61,55,6,0,0,0,12
2015,Reggie Nelson,60,S,CIN,41,8,115,0,37,14,0,0,2,25,0,0.0,77,52,25,2,0,0,12
2015,Reshad Jones,64,S,MIA,37,5,104,2,42,10,0,1,1,9,0,2.0,135,106,29,9,2,0,9
2015,Earl Thomas,66,S,SEA,35,5,67,0,32,9,1,0,0,0,0,0.0,64,45,19,0,0,0,11
2015,T.J. Ward,68,S,DEN,33,0,0,0,0,6,2,0,0,0,0,2.0,61,50,11,4,3,0,5
2015,Harrison Smith,73,S,MIN,28,2,35,1,35,3,1,0,0,0,0,1.5,66,49,17,3,6,0,7
2016,Eric Berry,13,S,KC,88,4,98,2,42,9,1,0,0,0,0,0.0,77,62,15,2,0,0,12
2016,Landon Collins,28,S,NYG,73,5,72,1,44,13,0,0,1,6,0,4.0,125,100,25,9,5,0,15
2016,Earl Thomas,30,S,SEA,71,2,5,0,5,10,0,0,1,34,1,0.0,48,24,24,0,0,0,5
2016,Kam Chancellor,34,S,SEA,67,2,5,0,5,8,1,0,0,0,0,0.0,86,51,35,3,0,0,5
2016,Harrison Smith,74,S,MIN,27,0,0,0,0,2,0,0,2,0,0,2.0,91,69,22,4,3,0,8
2016,Ha Ha Clinton-Dix,77,S,GB,24,5,75,0,27,7,1,0,0,0,0,0.5,80,62,18,1,1,0,9
2016,Malcolm Jenkins,90,S,PHI,11,3,98,2,64,9,0,0,1,0,0,1.0,72,47,25,3,3,0,7
2017,Earl Thomas,42,S,SEA,59,2,97,1,78,7,1,0,0,0,0,0.0,88,56,32,1,0,0,8
2017,Harrison Smith,46,S,MIN,55,5,42,0,19,12,0,0,0,0,0,1.5,78,61,17,7,3,0,11
2017,Micah Hyde,62,S,BUF,39,5,64,0,37,13,0,0,0,0,0,0.0,82,65,17,2,0,0,8
2017,Kam Chancellor,75,S,SEA,26,0,0,0,0,2,1,0,0,0,0,0.0,49,34,15,2,0,1,3
2017,Kevin Byard,80,S,TEN,21,8,130,0,33,16,0,0,2,6,0,0.0,87,62,25,3,3,0,14
2017,Landon Collins,92,S,NYG,9,2,21,0,21,6,1,0,2,33,0,0.0,104,78,26,3,2,0,8
2017,Malcolm Jenkins,96,S,PHI,5,2,0,0,0,8,1,1,1,0,0,1.0,76,63,13,5,2,0,10
2017,Ha Ha Clinton-Dix,100,S,GB,1,3,5,0,3,6,0,0,0,0,0,0.0,79,65,14,2,0,0,5
2018,Eddie Jackson,30,S,CHI,71,6,81,2,41,15,2,0,1,65,1,1.0,51,41,10,2,1,0,13
2018,Derwin James,31,S,LAC,70,3,30,0,23,13,0,0,0,0,0,3.5,105,75,30,4,6,0,12
2018,Jamal Adams,37,S,NYJ,64,1,38,0,38,12,3,0,1,5,0,3.5,115,86,29,9,8,0,9
2018,Harrison Smith,83,S,MIN,18,3,66,0,52,6,1,0,2,0,0,3.0,84,67,17,9,5,0,11
2018,Devin McCourty,89,S,NE,12,1,84,1,84,4,1,0,2,14,0,0.0,82,59,23,1,0,0,7
2018,Eric Weddle,100,S,BAL,1,0,0,0,0,3,0,0,0,0,0,1.0,68,54,14,2,4,0,8
2019,Jamal Adams,27,S,NYJ,74,1,61,1,61,7,2,0,1,25,1,6.5,75,61,14,10,13,0,13
2019,Minkah Fitzpatrick,35,S,PIT,66,5,130,1,96,9,2,0,3,79,1,0.0,69,44,25,1,1,0,16
2019,Tyrann Mathieu,39,S,KC,62,4,70,0,35,12,0,0,0,0,0,2.0,75,63,12,3,2,0,9
2019,Harrison Smith,64,S,MIN,37,3,13,0,13,11,3,0,2,0,0,1.0,85,65,20,4,2,0,7
2019,Earl Thomas,75,S,BAL,26,2,38,0,24,4,1,0,1,6,0,2.0,49,32,17,2,6,0,8
2019,Budda Baker,97,S,ARI,4,0,0,0,0,6,1,0,1,0,0,0.5,147,104,43,7,2,0,6
