Year,Player,Rank,Position,Team,Points
2018,Jurrell Casey,92,DE,TEN,9
2018,T.J. Watt,93,LB,PIT,8
2018,Mitchell Schwartz,94,OT,KC,7
2018,Kyle Fuller,95,CB,CHI,6
2018,Carson Wentz,96,QB,PHI,5
2018,Byron Jones,97,CB,DAL,4
2018,Tyler Lockett,98,WR,SEA,3
2018,Derrick Henry,99,RB,TEN,2
2018,Eric Weddle,100,S,BAL,1
2019,Lamar Jackson,1,QB,BAL,100
2019,Russell Wilson,2,QB,SEA,99
2019,Aaron Donald,3,DT,LAR,98
2019,Patrick Mahomes,4,QB,KC,97
2019,Michael Thomas,5,WR,NOR,96
2019,Christian McCaffrey,6,RB,CAR,95
2019,George Kittle,7,TE,SF,94
2019,DeAndre Hopkins,8,WR,HOU,93
2019,Stephon Gilmore,9,CB,NE,92
2019,Derrick Henry,10,RB,TEN,91
2019,Julio Jones,11,WR,ATL,90
2019,Drew Brees,12,QB,NOR,89
2019,Bobby Wagner,13,LB,SEA,88
2019,Tom Brady,14,QB,NE,87
2019,Chandler Jones,15,LB,ARI,86
2019,Aaron Rodgers,16,QB,GB,85
2019,Nick Bosa,17,DE,SF,84
2019,Travis Kelce,18,TE,KC,83
2019,Khalil Mack,19,LB,CHI,82
2019,Deshaun Watson,20,QB,HOU,81
2019,Dalvin Cook,21,RB,MIN,80
2019,Tyreek Hill,22,WR,KC,79
2019,Cameron Jordan,23,DE,NOR,78
2019,Ezekiel Elliott,24,RB,DAL,77
2019,T. J. Watt,25,LB,PIT,76
2019,Von Miller,26,LB,DEN,75
2019,Jamal Adams,27,S,NYJ,74
2019,Richard Sherman,28,CB,SF,73
2019,Quenton Nelson,29,G,IND,72
2019,Mike Evans,30,WR,TB,71
2019,Saquon Barkley,31,RB,NYG,70
2019,Shaquil Barrett,32,LB,TB,69
2019,Aaron Jones,33,RB,GB,68
2019,Joey Bosa,34,DE,LAC,67
2019,Minkah Fitzpatrick,35,S,PIT,66
2019,Nick Chubb,36,RB,CLV,65
2019,Jalen Ramsey,37,CB,JAX,64
2019,Chris Godwin,38,WR,TB,63
2019,Tyrann Mathieu,39,S,KC,62
2019,Danielle Hunter,40,DE,MIN,61
2019,Jadeveon Clowney,41,DE,SEA,60
2019,Alvin Kamara,42,RB,NOR,59
2019,Jimmy Garoppolo,43,QB,SF,58
2019,Mark Ingram,44,RB,BAL,57
2019,J. J. Watt,45,DE,HOU,56
2019,Dak Prescott,46,QB,DAL,55
2019,Tre'Davious White,47,CB,BUF,54
2019,Za'Darius Smith,48,LB,GB,53
2019,Amari Cooper,49,WR,DAL,52
2019,Darius Leonard,50,LB,IND,51
2019,Todd Gurley,51,RB,LAR,50
2019,Chris Jones,52,DT,KC,49
2019,Marcus Peters,53,CB,BAL,48
2019,Stefon Diggs,54,WR,MIN,47
2019,Zack Martin,55,G,DAL,46
2019,DeForest Buckner,56,DT,SF,45
2019,Davante Adams,57,WR,GB,44
2019,Kirk Cousins,58,QB,MIN,43
2019,Odell Beckham Jr.,59,WR,CLV,42
2019,Logan Ryan,60,CB,TEN,41
2019,Jarvis Landry,61,WR,CLV,40
2019,David Bakhtiari,62,OT,GB,39
2019,Preston Smith,63,LB,GB,38
2019,Harrison Smith,64,S,MIN,37
2019,Tyler Lockett,65,WR,SEA,36
2019,Laremy Tunsil,66,OT,HOU,35
2019,Demario Davis,67,LB,NOR,34
2019,Ryan Tannehill,68,QB,TEN,33
2019,Larry Fitzgerald,69,WR,ARI,32
2019,Fred Warner,70,LB,SF,31
2019,Jurrell Casey,71,DT,TEN,30
2019,Josh Jacobs,72,RB,LV,29
2019,Fletcher Cox,73,DT,PHI,28
2019,Ronnie Stanley,74,OT,BAL,27
2019,Earl Thomas,75,S,BAL,26
2019,Marshon Lattimore,76,CB,NOR,25
2019,Keenan Allen,77,WR,LAC,24
2019,Tyron Smith,78,OT,DAL,23
2019,Calais Campbell,79,DE,JAX,22
2019,Myles Garrett,80,DE,CLV,21
2019,DK Metcalf,81,WR,SEA,20
2019,Ryan Ramczyk,82,OT,NOR,19
2019,Eric Kendricks,83,LB,MIN,18
2019,Cameron Heyward,84,DT,PIT,17
2019,Zach Ertz,85,TE,PHI,16
2019,Marlon Humphrey,86,CB,BAL,15
2019,Josh Allen,87,QB,BUF,14
2019,Jaylon Smith,88,LB,DAL,13
2019,Cooper Kupp,89,WR,LAR,12
2019,Kyler Murray,90,QB,ARI,11
2019,Grady Jarrett,91,DT,ATL,10
2019,Darius Slay,92,CB,DET,9
2019,Allen Robinson,93,WR,CHI,8
2019,Jason Kelce,94,C,PHI,7
2019,Frank Clark,95,DE,KC,6
2019,Chris Carson,96,RB,SEA,5
2019,Budda Baker,97,S,ARI,4
2019,Brandon Brooks,98,G,PHI,3
2019,Darren Waller,99,TE,LV,2
2019,Lavonte David,100,LB,TB,1
