Year,Player,Rank,Position,Team,Points,Wins,Losses,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
2020,Aaron Rodgers,,QB,GB,,13,3,372,526,70.7,4299,48,9.1,5,1,216,78,8.2,9.6,11.6,268.7,121.5,84.4,20,182,7.54,8.89,3.7,1,2,17
2020,Patrick Mahomes,,QB,KC,,14,1,390,588,66.3,4740,38,6.5,6,1,238,75,8.1,8.9,12.2,316,108.2,82.9,22,147,7.53,8.33,3.6,3,3,17
2020,Josh Allen,,QB,BUF,,13,3,396,572,69.2,4544,37,6.5,10,1.7,228,55,7.9,8.5,11.5,284,107.2,81.7,26,159,7.33,7.82,4.3,2,3,20
2020,Russel Wilson,,QB,SEA,,12,4,384,558,68.8,4212,40,7.2,13,2.3,213,62,7.5,7.9,11,263.3,105.1,73.5,47,301,6.46,6.82,7.8,3,3,18
2020,Tom Brady,,QB,TB,,11,5,401,610,65.7,4633,40,6.6,12,2,233,50,7.6,8,11.6,289.6,102.2,72.5,21,143,7.12,7.53,3.3,3,3,15
2020,Deshaun Watson,,QB,HOU,,4,12,382,544,70.2,4823,33,6.1,7,1.3,221,77,8.9,9.5,12.6,301.4,112.4,70.5,49,293,7.64,8.22,8.3,,,16
2020,Kyler Murray,,QB,ARI,,8,8,375,558,67.2,3971,26,4.7,12,2.2,205,80,7.1,7.1,10.6,248.2,94.3,68.9,27,176,6.49,6.45,4.6,3,4,17
